"Date","Forecast","Lower_80","Upper_80","Lower_95","Upper_95"
2018-04-01,1.06,0.883,1.238,0.789,1.331
2018-04-08,1.682,1.497,1.867,1.399,1.965
2018-04-15,1.039,0.809,1.268,0.688,1.389
2018-04-22,1.728,1.491,1.964,1.365,2.09
2018-04-29,1.166,0.902,1.43,0.762,1.57
2018-05-06,1.734,1.464,2.004,1.321,2.147
2018-05-13,1.086,0.796,1.375,0.642,1.529
2018-05-20,1.663,1.369,1.958,1.214,2.113
2018-05-27,0.964,0.655,1.273,0.491,1.437
2018-06-03,1.685,1.372,1.997,1.207,2.163
2018-06-10,0.87,0.546,1.194,0.374,1.366
2018-06-17,1.576,1.249,1.903,1.076,2.076
